,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
122,3.0,0.290255,301,3,4035,0,3,0.119851,0.09298447433365092,0.0016675512164276835,0.0024196300904635246,-0.001508,0.0003578455664273575
123,5.0,0.0,2346,83,3955,0,83,0.119851,0.09298447433365092,0.0016675512164276835,0.0024196300904635246,-0.001508,0.0003578455664273575
124,4.0,-0.457828,2280,3631,407,1596,2035,0.119501,0.09269761399427119,0.0014036447517581248,0.0016812509940868578,-0.00167,0.00035264985791865074
125,1.0,-0.382328,3764,3889,149,1459,2430,0.119285,0.09267947572881002,0.001244939293013193,0.0011760994741651786,-0.001438,0.0003538296356414093
126,3.0,-0.75843,1355,3718,320,2236,1482,0.118894,0.0924192713651098,0.0014723838717725403,-0.00035499869339244663,-0.001268,0.0003755751729031078
127,3.0,0.367183,301,3,4035,0,3,0.118894,0.09241948449396385,0.0014723838717725403,-0.00035499869339244663,-0.001267,0.0003763030758493816
128,4.0,-0.688897,3452,3217,821,1818,1399,0.118756,0.09220308858680774,0.0010458798985351605,-6.84066609667551e-05,-0.001439,0.00035618429644853976
129,0.0,-0.532867,1355,3575,463,1793,1782,0.118242,0.09215191521342292,0.0006676599343209617,-0.0012012860026226898,-0.001237,0.00037571479904819315
130,5.0,0.33696,535,3736,302,1384,2352,0.118434,0.09232645172554844,0.0005853886659146501,-0.0004961449871313633,-0.001189,0.00038859138566204145
131,3.0,0.365158,1823,490,3548,209,281,0.118576,0.09232731715888703,0.0006052263349716608,-0.0003011231032763386,-0.001179,0.00034997651812057086
132,1.0,-0.73025,1680,3737,301,2142,1595,0.118508,0.09225387735630262,0.0004957750710347243,-0.0003011231032763386,-0.001105,0.00035025931089105857
133,3.0,0.476745,301,3065,973,1398,1667,0.118902,0.09259957841825538,0.0005589143458100124,-0.00027327126619169863,-0.001186,0.00035975643889303924
134,1.0,0.511795,1379,3464,574,1594,1870,0.119162,0.09278599288075834,0.0003634070335868648,0.0001614917012808649,-0.001439,0.00040033918214631977
135,0.0,-0.377927,1355,3395,643,1308,2087,0.118876,0.0927171303379479,0.0003836290458088821,-0.00015768378158504307,-0.001259,0.00042822033259610104
136,0.0,0.552694,301,3495,543,1755,1740,0.119237,0.09275513865554945,0.000615931871563048,-0.000273719295925518,-0.001408,0.00043212393359744905
137,5.0,0.730716,1671,3772,266,2318,1454,0.119453,0.09269430781751724,0.0008105509750742058,-0.00010835623820207578,-0.001314,0.00043706140419660726
138,5.0,-0.418555,1355,3751,287,1663,2088,0.119231,0.09245792649056506,0.0007579916317845262,-0.00013128687180780657,-0.001417,0.00045478378597427503
139,3.0,0.273248,301,3,4035,0,3,0.119231,0.09245807954344154,0.0007579916317845262,-0.00013128687180780657,-0.001417,0.0004552611978749104
140,2.0,-0.284499,184,206,3832,62,144,0.119224,0.0924504033724896,0.0007577797010923234,7.689562585592006e-05,-0.001412,0.0004480711508335636
141,3.0,0.676498,301,3177,861,1794,1383,0.119604,0.0927376778896494,0.001057057484109916,0.0009310427198941536,-0.001425,0.00048211907111085997
142,4.0,-0.526674,3881,3624,414,1729,1895,0.119468,0.09262119893110321,0.0006678952864253092,0.0011285960026982352,-0.001548,0.0004760326239704787
143,5.0,-0.593031,1020,3142,896,1741,1401,0.119181,0.09257090932327902,0.0007496997848992942,0.0003744552373032329,-0.001698,0.00046873544119946576
144,3.0,-0.366327,3682,19,4019,6,13,0.119179,0.0925695367226902,0.0007496997848992942,0.0003744552373032329,-0.001699,0.0004643084605111766
145,0.0,0.441231,3762,3,4035,0,3,0.119179,0.09257088794250812,0.0007496997848992942,0.0003744552373032329,-0.001701,0.0004542802934731309
146,3.0,-0.425844,218,10,4028,1,9,0.119177,0.09256788539309523,0.0007496997848992942,0.0003744552373032329,-0.001702,0.00043613800577815685
147,4.0,-0.616556,3203,3273,765,1748,1525,0.119126,0.09236641136681684,0.000706738742526536,0.00047466436039471843,-0.001826,0.00046141156358949626
148,1.0,0.423264,1355,3570,468,1451,2119,0.119242,0.09242911342738797,0.0008644498211338879,0.0005554442370308696,-0.001926,0.0004949651659663223
149,4.0,0.317707,1355,3061,977,1001,2060,0.119491,0.09284893044941168,0.000978685379339573,0.0005554442370308696,-0.001747,0.00048382420285664164
150,2.0,0.28717,1555,2747,1291,780,1967,0.11954,0.09299931238689402,0.00106428076150404,0.0006926006149800615,-0.001718,0.00048414314318840696
151,0.0,-0.19839,3307,2873,1165,638,2235,0.119363,0.09300051706115539,0.0008907984375316083,0.0005831339553804916,-0.001675,0.0005054577383852379
152,4.0,-0.881718,301,3636,402,2266,1370,0.11911,0.09263152599641157,5.164919060295173e-05,0.0015240075665241381,-0.002002,0.0005052757812176221
153,0.0,-0.432427,3343,3469,569,1486,1983,0.11868,0.09235065964365938,0.00018354883725390597,0.0017008714707859019,-0.001846,0.0005055321282625059
154,2.0,0.475351,1355,3092,946,1353,1739,0.118862,0.09245279082385903,0.00023723920648875173,0.0011918755766239873,-0.00177,0.0005517509448012531
155,4.0,-0.302225,301,3,4035,0,3,0.118862,0.09245276862756353,0.00023723920648875173,0.0011918755766239873,-0.00177,0.0005429215480858945
